Dog Breed,Category,Symptom,Breed (EN)
吉娃娃,毛髮皮膚,斑狀毛色,Chihuahua
吉娃娃,毛髮皮膚,犬型禿髮,Chihuahua
吉娃娃,眼睛,玻璃體退化,Chihuahua
吉娃娃,眼睛,持續性瞳孔膜,Chihuahua
吉娃娃,眼睛,白內障,Chihuahua
吉娃娃,眼睛,漸進性視網膜萎縮症,Chihuahua
吉娃娃,眼睛,角膜營養不良,Chihuahua
吉娃娃,骨骼及關節,髕骨異位,Chihuahua
吉娃娃,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死,Chihuahua
吉娃娃,骨骼及關節,肘關節增生不良,Chihuahua
吉娃娃,血液,肝門脈系統分流,Chihuahua
吉娃娃,心臟,慢性瓣膜性心臟病／心臟瓣膜病變,Chihuahua
吉娃娃,心臟,肺動脈狹窄症,Chihuahua
吉娃娃,呼吸系統,氣管塌陷,Chihuahua
吉娃娃,消化排泄系統,臍疝氣,Chihuahua
吉娃娃,泌尿系統,泌尿系統結石,Chihuahua
吉娃娃,內分泌系統,甲狀腺功能低下,Chihuahua
吉娃娃,腦及神經,水腦症,Chihuahua
吉娃娃,腦及神經,壞死性腦膜炎,Chihuahua
吉娃娃,畸形,唇顎裂,Chihuahua
吉娃娃,生殖系統,隱睪,Chihuahua
吉娃娃,嘴及口腔,咬合不足,Chihuahua
吉娃娃,嘴及口腔,咬合過度和歪嘴症,Chihuahua
吉娃娃,肌肉,後天重症肌無力,Chihuahua
約克夏,毛髮皮膚,過敏性皮炎,Yorkshire Terrier
約克夏,毛髮皮膚,皮癬,Yorkshire Terrier
約克夏,毛髮皮膚,皮膚漿液瘤,Yorkshire Terrier
約克夏,眼睛,永久性瞳孔殘膜,Yorkshire Terrier
約克夏,眼睛,乾眼症,Yorkshire Terrier
約克夏,眼睛,白內障,Yorkshire Terrier
約克夏,眼睛,漸進性視網膜萎縮症,Yorkshire Terrier
約克夏,眼睛,多生睫毛,Yorkshire Terrier
約克夏,眼睛,視網膜增生不良,Yorkshire Terrier
約克夏,眼睛,角膜營養不良,Yorkshire Terrier
約克夏,骨骼及關節,髕骨脫臼,Yorkshire Terrier
約克夏,骨骼及關節,髖關節增生不良,Yorkshire Terrier
約克夏,骨骼及關節,肘關節增生不良,Yorkshire Terrier
約克夏,血液,肝門脈系統分流,Yorkshire Terrier
約克夏,血液,低血糖症,Yorkshire Terrier
約克夏,心臟,瓣膜性心臟病,Yorkshire Terrier
約克夏,心臟,心室中膈缺陷,Yorkshire Terrier
約克夏,呼吸系統,氣管塌陷,Yorkshire Terrier
約克夏,消化排泄系統,蛋白質流失性腸病,Yorkshire Terrier
約克夏,泌尿系統,泌尿道結石,Yorkshire Terrier
約克夏,內分泌系統,糖尿病,Yorkshire Terrier
約克夏,內分泌系統,腎上腺皮質功能亢進症（庫興氏症候群）,Yorkshire Terrier
約克夏,內分泌系統,甲狀腺功能減退症,Yorkshire Terrier
約克夏,腦及神經,壞死性腦膜腦炎,Yorkshire Terrier
約克夏,生殖系統,隱睪,Yorkshire Terrier
馬爾濟斯,眼睛,永久性瞳孔殘膜,Maltese
馬爾濟斯,眼睛,多生睫毛,Maltese
馬爾濟斯,眼睛,白內障,Maltese
馬爾濟斯,眼睛,視網膜增生不良,Maltese
馬爾濟斯,骨骼及關節,髖關節增生不良,Maltese
馬爾濟斯,骨骼及關節,髕骨異位,Maltese
馬爾濟斯,骨骼及關節,肘關節增生不良,Maltese
馬爾濟斯,血液,肝門脈系統分流,Maltese
馬爾濟斯,心臟,開放性動脈導管,Maltese
馬爾濟斯,消化排泄系統,蛋白質流失性腸病,Maltese
馬爾濟斯,消化排泄系統,肛門閉鎖症,Maltese
馬爾濟斯,內分泌系統,甲狀腺功能減退症,Maltese
馬爾濟斯,腦及神經,水腦症,Maltese
馬爾濟斯,腦及神經,壞死性腦膜腦炎／巴哥犬腦炎,Maltese
馬爾濟斯,腦及神經,白狗搖擺症候群,Maltese
馬爾濟斯,腫瘤及癌症,脾臟腫瘤,Maltese
馬爾濟斯,腫瘤及癌症,胃腸道肥大細胞腫瘤,Maltese
馬爾濟斯,腫瘤及癌症,睾丸腫瘤,Maltese
馬爾濟斯,耳朵,耳聾,Maltese
馬爾濟斯,免疫系統,自身免疫性溶血性貧血,Maltese
蝴蝶犬,眼睛,漸進性視網膜萎縮症,Papillon
蝴蝶犬,眼睛,玻璃體退化,Papillon
蝴蝶犬,眼睛,永久性瞳孔殘膜,Papillon
蝴蝶犬,眼睛,白內障,Papillon
蝴蝶犬,眼睛,多生睫毛,Papillon
蝴蝶犬,骨骼及關節,髕骨脫臼,Papillon
蝴蝶犬,骨骼及關節,髖關節增生不良,Papillon
蝴蝶犬,骨骼及關節,肘關節增生不良,Papillon
蝴蝶犬,血液,類血友病/溫韋伯氏疾病,Papillon
蝴蝶犬,血液,肝門脈系統分流,Papillon
蝴蝶犬,內分泌系統,甲狀腺功能低下,Papillon
蝴蝶犬,腦及神經,神經軸突營養不良症,Papillon
蝴蝶犬,腦及神經,癲癇,Papillon
蝴蝶犬,腦及神經,水腦症,Papillon
蝴蝶犬,脊椎脊髓及神經,椎間盤疾病,Papillon
蝴蝶犬,畸形,囟門未閉合,Papillon
蝴蝶犬,畸形,唇顎裂,Papillon
蝴蝶犬,生殖系統,隱睪症,Papillon
蝴蝶犬,耳朵,耳聾,Papillon
博美犬,毛髮皮膚,X脫毛症,Pomeranian
博美犬,眼睛,多生睫毛,Pomeranian
博美犬,眼睛,持久性瞳孔殘膜,Pomeranian
博美犬,眼睛,白內障,Pomeranian
博美犬,眼睛,玻璃體退化,Pomeranian
博美犬,眼睛,漸進性視網膜萎縮症,Pomeranian
博美犬,骨骼及關節,髕骨異位,Pomeranian
博美犬,骨骼及關節,肘關節發育不良,Pomeranian
博美犬,心臟,開放性動脈導管,Pomeranian
博美犬,心臟,慢性瓣膜性心臟病,Pomeranian
博美犬,呼吸系統,氣管坍塌,Pomeranian
博美犬,泌尿系統,高尿酸尿症／膀胱結石,Pomeranian
博美犬,內分泌系統,甲狀腺功能低下,Pomeranian
博美犬,腦及神經,水腦症,Pomeranian
博美犬,腦及神經,壞死性腦膜腦炎,Pomeranian
博美犬,脊椎脊髓及神經,寰樞椎間半脫臼,Pomeranian
巴哥犬,毛髮皮膚,過敏性皮炎,Pug
巴哥犬,眼睛,眼瞼內翻,Pug
巴哥犬,眼睛,暴露角膜病變綜合症/色素性角膜炎,Pug
巴哥犬,眼睛,永久性瞳孔殘膜,Pug
巴哥犬,眼睛,多生睫毛,Pug
巴哥犬,眼睛,慢性淺表性角膜炎,Pug
巴哥犬,眼睛,大眼瞼症,Pug
巴哥犬,眼睛,白內障,Pug
巴哥犬,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死,Pug
巴哥犬,骨骼及關節,肘關節發育不良,Pug
巴哥犬,骨骼及關節,髕骨異位,Pug
巴哥犬,血液,肝門脈系統分流,Pug
巴哥犬,呼吸系統,肺葉捻轉,Pug
巴哥犬,呼吸系統,短吻犬呼吸道症候群,Pug
巴哥犬,泌尿系統,膀胱結石,Pug
巴哥犬,內分泌系統,糖尿病,Pug
巴哥犬,內分泌系統,甲狀腺功能低下,Pug
巴哥犬,腦及神經,巴哥犬腦炎,Pug
巴哥犬,脊椎脊髓及神經,退化性脊髓病,Pug
巴哥犬,脊椎脊髓及神經,半脊椎及蝴蝶椎,Pug
巴哥犬,腫瘤及癌症,肥大細胞瘤,Pug
巴哥犬,畸形,胎兒水腫,Pug
北京犬,毛髮皮膚,肛門腺疾病,Pekingese
北京犬,眼睛,白內障,Pekingese
北京犬,眼睛,乾眼症,Pekingese
北京犬,眼睛,多生睫毛,Pekingese
北京犬,眼睛,原發性青光眼,Pekingese
北京犬,眼睛,慢性淺表性角膜炎,Pekingese
北京犬,眼睛,異生睫毛,Pekingese
北京犬,眼睛,眼瞼內翻,Pekingese
北京犬,眼睛,暴露性角膜病變綜合症,Pekingese
北京犬,眼睛,水晶體移位,Pekingese
北京犬,眼睛,大眼瞼症,Pekingese
北京犬,眼睛,漸進性視網膜萎縮症,Pekingese
北京犬,骨骼及關節,髕骨異位,Pekingese
北京犬,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死,Pekingese
北京犬,骨骼及關節,肘關節增生不良,Pekingese
北京犬,血液,肝門脈系統分流,Pekingese
北京犬,心臟,慢性瓣膜性心臟病,Pekingese
北京犬,呼吸系統,短吻犬呼吸道症候群,Pekingese
北京犬,消化排泄系統,會陰疝氣,Pekingese
北京犬,泌尿系統,膀胱結石,Pekingese
北京犬,內分泌系統,甲狀腺功能低下,Pekingese
北京犬,腦及神經,壞死性腦膜腦炎,Pekingese
北京犬,脊椎脊髓及神經,椎間盤突出,Pekingese
北京犬,脊椎脊髓及神經,寰樞椎間半脫臼,Pekingese
北京犬,腫瘤及癌症,睾丸細胞瘤,Pekingese
比熊犬,毛髮皮膚,異位性皮膚炎,Bichon Frise
比熊犬,眼睛,白內障,Bichon Frise
比熊犬,眼睛,淚腺分泌過盛,Bichon Frise
比熊犬,眼睛,多生睫毛,Bichon Frise
比熊犬,眼睛,角膜內皮營養不良症,Bichon Frise
比熊犬,眼睛,永久性性瞳孔殘膜,Bichon Frise
比熊犬,眼睛,原發性青光眼,Bichon Frise
比熊犬,骨骼及關節,髖關節發育不全與股骨頭缺血性壞死,Bichon Frise
比熊犬,骨骼及關節,髕骨異位,Bichon Frise
比熊犬,骨骼及關節,肘關節發育不良,Bichon Frise
比熊犬,血液,肝門脈系統分流,Bichon Frise
比熊犬,心臟,開放性動脈導管,Bichon Frise
比熊犬,呼吸系統,纖毛運動異常症，部分動物會伴隨臟器逆位,Bichon Frise
比熊犬,消化排泄系統,臍疝氣,Bichon Frise
比熊犬,泌尿系統,尿路結石,Bichon Frise
比熊犬,內分泌系統,甲狀腺功能低下,Bichon Frise
比熊犬,內分泌系統,糖尿病,Bichon Frise
比熊犬,生殖系統,隱睾症,Bichon Frise
比熊犬,免疫系統,免疫性溶血,Bichon Frise
貴賓犬,毛髮皮膚,皮脂腺炎,Poodle
貴賓犬,毛髮皮膚,X脫毛症,Poodle
貴賓犬,眼睛,漸進性視網膜萎縮症,Poodle
貴賓犬,眼睛,多生睫毛,Poodle
貴賓犬,眼睛,白內障,Poodle
貴賓犬,眼睛,永久性瞳孔殘膜,Poodle
貴賓犬,眼睛,繼發性青光眼,Poodle
貴賓犬,眼睛,玻璃體退化,Poodle
貴賓犬,眼睛,原發青光眼,Poodle
貴賓犬,眼睛,水晶體誘發的晶體溶解性葡萄膜炎,Poodle
貴賓犬,眼睛,視神經發育不良,Poodle
貴賓犬,眼睛,溢淚,Poodle
貴賓犬,骨骼及關節,髖關節發育不全,Poodle
貴賓犬,骨骼及關節,髕關節異位,Poodle
貴賓犬,骨骼及關節,肘部發育不良,Poodle
貴賓犬,骨骼及關節,股骨頭缺血性壞死,Poodle
貴賓犬,血液,溫韋伯氏疾病/類血友病,Poodle
貴賓犬,心臟,二尖瓣疾病/鬱血性心力衰竭/斜體瓣病,Poodle
貴賓犬,心臟,開放性動脈導管,Poodle
貴賓犬,呼吸系統,支氣管擴張,Poodle
貴賓犬,呼吸系統,氣管坍塌,Poodle
貴賓犬,消化排泄系統,會陰疝氣,Poodle
貴賓犬,泌尿系統,草酸鈣尿石症,Poodle
貴賓犬,內分泌系統,糖尿病,Poodle
貴賓犬,內分泌系統,腎上腺皮質功能亢進症(庫興氏症候群),Poodle
貴賓犬,內分泌系統,甲低,Poodle
貴賓犬,脊椎脊髓及神經,退化性脊髓病,Poodle
貴賓犬,脊椎脊髓及神經,新生兒腦病,Poodle
貴賓犬,腫瘤及癌症,舌部鱗狀上皮細胞癌,Poodle
貴賓犬,腫瘤及癌症,乳腺骨肉瘤,Poodle
貴賓犬,生殖系統,隱睪,Poodle
貴賓犬,嘴及口腔,牙周病,Poodle
貴賓犬,耳朵,外耳炎,Poodle
貴賓犬,免疫系統,遺傳性自身免疫性甲狀腺炎,Poodle
迷你雪納瑞,毛髮皮膚,淺層化膿性壞死溶解性皮膚炎,Miniature Schnauzer
迷你雪納瑞,毛髮皮膚,雪納瑞粉刺症候群,Miniature Schnauzer
迷你雪納瑞,眼睛,漸進性視網膜萎縮症,Miniature Schnauzer
迷你雪納瑞,眼睛,視網膜增生不良,Miniature Schnauzer
迷你雪納瑞,眼睛,先天性白內障和小眼症,Miniature Schnauzer
迷你雪納瑞,眼睛,白內障,Miniature Schnauzer
迷你雪納瑞,眼睛,永久性瞳孔殘膜,Miniature Schnauzer
迷你雪納瑞,眼睛,睫毛倒插,Miniature Schnauzer
迷你雪納瑞,眼睛,突發性急性視網膜退化症,Miniature Schnauzer
迷你雪納瑞,骨骼及關節,髖關節發育不良,Miniature Schnauzer
迷你雪納瑞,血液,肝門脈系統性分流,Miniature Schnauzer
迷你雪納瑞,血液,不明原因性高脂蛋白血症,Miniature Schnauzer
迷你雪納瑞,血液,遺傳性口型貧血,Miniature Schnauzer
迷你雪納瑞,血液,動脈粥狀硬化(罕見),Miniature Schnauzer
迷你雪納瑞,心臟,慢性二尖瓣病/二尖瓣脫垂,Miniature Schnauzer
迷你雪納瑞,心臟,肺動脈瓣狹窄,Miniature Schnauzer
迷你雪納瑞,心臟,病竇症後群,Miniature Schnauzer
迷你雪納瑞,消化排泄系統,食道症/巨食道,Miniature Schnauzer
迷你雪納瑞,消化排泄系統,胰臟炎,Miniature Schnauzer
迷你雪納瑞,泌尿系統,泌尿系結石,Miniature Schnauzer
迷你雪納瑞,泌尿系統,青少年時期腎病,Miniature Schnauzer
迷你雪納瑞,內分泌系統,甲狀腺功能低下,Miniature Schnauzer
迷你雪納瑞,內分泌系統,腎上腺皮質功能亢進症(庫興氏症候群),Miniature Schnauzer
迷你雪納瑞,內分泌系統,糖尿病,Miniature Schnauzer
迷你雪納瑞,腦及神經,神經性蠟樣脂褐質沈著症,Miniature Schnauzer
迷你雪納瑞,脊椎脊髓及神經,脊髓纖維軟骨栓塞,Miniature Schnauzer
迷你雪納瑞,生殖系統,慕勒氏管永存症,Miniature Schnauzer
迷你雪納瑞,肌肉,先天性肌強直症,Miniature Schnauzer
迷你雪納瑞,免疫系統,免疫性溶血性貧血,Miniature Schnauzer
西施犬,眼睛,多生睫毛,Shih Tzu
西施犬,眼睛,原發性青光眼,Shih Tzu
西施犬,眼睛,溢淚,Shih Tzu
西施犬,眼睛,眼瞼內翻,Shih Tzu
西施犬,眼睛,玻璃體退化,Shih Tzu
西施犬,眼睛,白內障,Shih Tzu
西施犬,眼睛,大眼瞼症,Shih Tzu
西施犬,眼睛,暴露性角膜炎症候群/色素性角膜炎,Shih Tzu
西施犬,眼睛,睫毛倒插,Shih Tzu
西施犬,眼睛,角膜內皮失養症,Shih Tzu
西施犬,眼睛,瞬膜腺體脫出 (櫻桃眼),Shih Tzu
西施犬,眼睛,漸進性視網膜退化症,Shih Tzu
西施犬,眼睛,慢性淺層角膜炎,Shih Tzu
西施犬,眼睛,乾眼症,Shih Tzu
西施犬,眼睛,視神經發育不全,Shih Tzu
西施犬,骨骼及關節,髖關節發育不全及股骨頭缺血性壞死,Shih Tzu
西施犬,骨骼及關節,髕骨鬆弛,Shih Tzu
西施犬,骨骼及關節,肘關節發育不全,Shih Tzu
西施犬,血液,肝門脈系統分流,Shih Tzu
西施犬,呼吸系統,短吻犬症候群,Shih Tzu
西施犬,消化排泄系統,臍疝氣,Shih Tzu
西施犬,泌尿系統,尿路結石,Shih Tzu
西施犬,泌尿系統,腎發育不全／異常,Shih Tzu
西施犬,內分泌系統,甲狀腺功能低下,Shih Tzu
西施犬,腦及神經,癲癇,Shih Tzu
西施犬,脊椎脊髓及神經,椎間盤突出疾病,Shih Tzu
查理士小獵犬,毛髮皮膚,過敏性皮炎,Cavalier King Charles Spaniel
查理士小獵犬,毛髮皮膚,皮脂腺囊腫,Cavalier King Charles Spaniel
查理士小獵犬,毛髮皮膚,先天性角膜結膜炎及魚鱗狀皮膚病,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,視網膜增生不良,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,多生睫毛,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,角膜內皮失養症,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,白內障,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,先天性乾眼症,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,永久性瞳孔殘膜,Cavalier King Charles Spaniel
查理士小獵犬,眼睛,小眼症,Cavalier King Charles Spaniel
查理士小獵犬,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死,Cavalier King Charles Spaniel
查理士小獵犬,骨骼及關節,髕骨異位,Cavalier King Charles Spaniel
查理士小獵犬,骨骼及關節,肘關節發育不良,Cavalier King Charles Spaniel
查理士小獵犬,骨骼及關節,顳下頜關節發育不良,Cavalier King Charles Spaniel
查理士小獵犬,血液,股動脈閉塞／動脈血栓栓塞症,Cavalier King Charles Spaniel
查理士小獵犬,心臟,慢性二尖瓣病／二尖瓣脫垂,Cavalier King Charles Spaniel
查理士小獵犬,呼吸系統,短吻犬症候群,Cavalier King Charles Spaniel
查理士小獵犬,消化排泄系統,臍帶疝氣,Cavalier King Charles Spaniel
查理士小獵犬,消化排泄系統,慢性胰腺炎,Cavalier King Charles Spaniel
查理士小獵犬,泌尿系統,黃嘌呤尿症,Cavalier King Charles Spaniel
查理士小獵犬,泌尿系統,黃嘌呤尿石症,Cavalier King Charles Spaniel
查理士小獵犬,內分泌系統,胰臟腺胞萎縮,Cavalier King Charles Spaniel
查理士小獵犬,內分泌系統,糖尿病,Cavalier King Charles Spaniel
查理士小獵犬,內分泌系統,甲狀腺功能低下,Cavalier King Charles Spaniel
查理士小獵犬,腦及神經,脊髓空洞症,Cavalier King Charles Spaniel
查理士小獵犬,腦及神經,類奇亞里畸形／枕骨發育不全,Cavalier King Charles Spaniel
查理士小獵犬,腦及神經,原因不明性癲癇,Cavalier King Charles Spaniel
查理士小獵犬,脊椎脊隨及神經,椎間盤突出疾病,Cavalier King Charles Spaniel
查理士小獵犬,肌肉,突發性癱倒,Cavalier King Charles Spaniel
查理士小獵犬,肌肉,肌肉萎縮症,Cavalier King Charles Spaniel
查理士小獵犬,耳朵,耳聾,Cavalier King Charles Spaniel
查理士小獵犬,耳朵,原發性分泌性中耳炎,Cavalier King Charles Spaniel
查理士小獵犬,免疫系統,嗜酸性炎症,Cavalier King Charles Spaniel
西高地白㹴,毛髮皮膚,異位性皮膚炎,West Highland White Terrier
西高地白㹴,毛髮皮膚,淺表壞死性皮膚炎,West Highland White Terrier
西高地白㹴,毛髮皮膚,厚皮馬拉色菌感染,West Highland White Terrier
西高地白㹴,眼睛,永久性瞳孔殘膜,West Highland White Terrier
西高地白㹴,眼睛,白內障,West Highland White Terrier
西高地白㹴,眼睛,乾眼症,West Highland White Terrier
西高地白㹴,眼睛,視網膜增生不良,West Highland White Terrier
西高地白㹴,眼睛,漸進性視網膜萎縮症,West Highland White Terrier
西高地白㹴,骨骼及關節,髕骨異位,West Highland White Terrier
西高地白㹴,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死,West Highland White Terrier
西高地白㹴,骨骼及關節,頭蓋骨下顎骨病,West Highland White Terrier
西高地白㹴,骨骼及關節,肘關節增生不良,West Highland White Terrier
西高地白㹴,血液,肝門脈系統分流,West Highland White Terrier
西高地白㹴,血液,丙酮酸活化酶缺乏症,West Highland White Terrier
西高地白㹴,心臟,二尖瓣疾病,West Highland White Terrier
西高地白㹴,心臟,竇房結病變症後群,West Highland White Terrier
西高地白㹴,呼吸系統,慢性間質性肺病,West Highland White Terrier
西高地白㹴,消化排泄系統,炎症性腸病,West Highland White Terrier
西高地白㹴,消化排泄系統,遺傳性銅中毒,West Highland White Terrier
西高地白㹴,泌尿系統,腎臟增生不良,West Highland White Terrier
西高地白㹴,泌尿系統,膀胱結石,West Highland White Terrier
西高地白㹴,內分泌系統,糖尿病,West Highland White Terrier
西高地白㹴,內分泌系統,腎上腺皮質功能亢進症（庫興氏症候群）,West Highland White Terrier
西高地白㹴,內分泌系統,腎上腺皮質分泌不全（愛迪生氏症）,West Highland White Terrier
西高地白㹴,內分泌系統,甲狀腺功能低下,West Highland White Terrier
西高地白㹴,腦及神經,球細胞腦白質失養症,West Highland White Terrier
西高地白㹴,腦及神經,白狗搖擺症後群,West Highland White Terrier
西高地白㹴,腫瘤及癌症,淋巴瘤/淋巴肉瘤,West Highland White Terrier
西高地白㹴,腫瘤及癌症,膀胱癌,West Highland White Terrier
臘腸犬,毛髮皮膚,無菌性脂膜炎,Dachshund
臘腸犬,毛髮皮膚,顏色稀釋性脫髮,Dachshund
臘腸犬,眼睛,漸進性視網膜萎縮症,Dachshund
臘腸犬,眼睛,永久性瞳孔殘膜,Dachshund
臘腸犬,眼睛,虹膜缺損,Dachshund
臘腸犬,眼睛,多生睫毛,Dachshund
臘腸犬,眼睛,角膜營養不良,Dachshund
臘腸犬,眼睛,白內障,Dachshund
臘腸犬,眼睛,慢性淺層角膜炎,Dachshund
臘腸犬,眼睛,點狀角膜炎,Dachshund
臘腸犬,眼睛,視神經缺損,Dachshund
臘腸犬,眼睛,小眼症,Dachshund
臘腸犬,眼睛,視網膜增生不良,Dachshund
臘腸犬,眼睛,視神經不全,Dachshund
臘腸犬,眼睛,突發性後天性視網膜退變症候群,Dachshund
臘腸犬,骨骼及關節,髖關節發育不良與股骨頭缺血性壞死,Dachshund
臘腸犬,骨骼及關節,成骨不全症,Dachshund
臘腸犬,骨骼及關節,髕骨異位,Dachshund
臘腸犬,骨骼及關節,肘關節增生不良,Dachshund
臘腸犬,血液,丙酮酸活化酶缺乏症,Dachshund
臘腸犬,心臟,二尖瓣脫垂,Dachshund
臘腸犬,泌尿系統,尿路結石,Dachshund
臘腸犬,內分泌系統,腎上腺皮質功能亢進症(庫興氏症候群),Dachshund
臘腸犬,內分泌系統,甲狀腺功能低下,Dachshund
臘腸犬,腦及神經,漸進性肌陣攣性癲癇,Dachshund
臘腸犬,腦及神經,猝睡症,Dachshund
臘腸犬,腦及神經,神經性蠟樣脂褐質沈著症,Dachshund
臘腸犬,脊椎脊髓及神經,椎間盤突出疾病,Dachshund
臘腸犬,腫瘤及癌症,皮膚組織細胞瘤,Dachshund
臘腸犬,嘴及口腔,牙周病,Dachshund
臘腸犬,肌肉,會陰疝氣,Dachshund
臘腸犬,肌肉,先天性重症肌無力,Dachshund
臘腸犬,肌肉,鼻咽部發育不良/狹窄,Dachshund
臘腸犬,耳朵,耳聾,Dachshund
法國鬥牛犬,毛髮皮膚,過敏性皮膚炎,French Bulldog
法國鬥牛犬,毛髮皮膚,毛囊蟲症,French Bulldog
法國鬥牛犬,眼睛,永存性瞳孔殘膜,French Bulldog
法國鬥牛犬,眼睛,視網膜增生不良,French Bulldog
法國鬥牛犬,眼睛,眼瞼內翻,French Bulldog
法國鬥牛犬,眼睛,幼年性白內障,French Bulldog
法國鬥牛犬,眼睛,多生睫毛,French Bulldog
法國鬥牛犬,骨骼及關節,髖關節發育不全,French Bulldog
法國鬥牛犬,骨骼及關節,肘部發育不良,French Bulldog
法國鬥牛犬,骨骼及關節,髕關節鬆脫/異位,French Bulldog
法國鬥牛犬,血液,B型血友病(第九凝血因子缺乏症),French Bulldog
法國鬥牛犬,心臟,肺動脈狹窄症,French Bulldog
法國鬥牛犬,呼吸系統,短吻犬症候群,French Bulldog
法國鬥牛犬,消化排泄系統,食道旁裂孔疝氣,French Bulldog
法國鬥牛犬,消化排泄系統,組織細胞潰瘍性結腸炎,French Bulldog
法國鬥牛犬,內分泌系統,甲狀腺功能減退/低下,French Bulldog
法國鬥牛犬,腦及神經,壞死性腦膜炎/巴哥犬腦炎,French Bulldog
法國鬥牛犬,脊椎脊髓及神經,半椎體和蝴蝶椎體,French Bulldog
法國鬥牛犬,脊椎脊髓及神經,椎間盤病,French Bulldog
法國鬥牛犬,脊椎脊髓及神經,退化性脊髓病,French Bulldog
法國鬥牛犬,生殖系統,隱睪,French Bulldog
威爾斯柯基犬,眼睛,永久性瞳孔殘膜,Welsh Corgi
威爾斯柯基犬,眼睛,多生睫毛,Welsh Corgi
